comments,cleaned_comments
"Tentara indonesia diam tetapi tentara langit marah dan mulai di kerahkan, siapa pun mereka yg masih saya punya fikiran iri dengki dan fikiran jelek lainya akan di hapuskan dari dunia gak hanya kalian, keluarga kalian pun akanterkena, 🇮🇩🇮🇩🇮🇩💪💪💪",tentara indonesia diam tentara langit marah kerah fikiran iri dengki fikiran jelek lai hapus dunia keluarga akanterkena
yang di katakan Anwar Ibrahim sudah jelas ada maksud tertentu ahirnya bapak telepon membuka topengnya sendiri😊 terkadang yang kita anggap teman baik itu belum tentu baik,anwar ibrahim maksud ahirnya telepon buka topeng terkadang anggap teman
Habosin aja gam rakyat indonesia siap majuperang bela negara..jateng,habosin gam rakyat indonesia majuperang bela negarajateng
PMX ANWAR IBRAHIM BESAK OMONG. BANYAK GAYA. MALAYSIA AJA DIGADAI SAMA AS. TIDAK LAMA LAGI MALAYSIA AJAN HANCUR DIBUAT PMX NYA,pmx anwar ibrahim besak omong gaya malaysia gadai malaysia ajan hancur pmx
"ORANG YG BERKUMIS,BERJENGGOT..TANGISAN BUAYA...BUPATI UMROH,KARAOKEAN,DAN RAJA ACEH  MAKAN ENAK..DAN GAM MENGHALANGI BANTUAN,",orang berkumisberjenggottangisan buayabupati umrohkaraokeandan raja aceh makan enakdan gam halang bantu
Ganyang aja malysia itu nunggu apa lagi .negara kacil aja .kasih rudal pusat kota aja ribut,ganyang malysia nunggu negara kacil kasih rudal pusat kota ribut
Mungkin udah nek karena udah muak dengan kelakuan hukum2 di Indonesia. Yg harus dibenahi itu banyak. Hukum kuat buat yg berduit. Mungkin nanti ada wilayah2 lagi yg ingin merdeka. Tanahnya kaya tapi masyarakat nya jauh dari kemiskinan. Buktinya di Papua semua serba mahal padahal emas melimpah. Makanya negara lain cari celah untuk menghasutnya karena negara lain juga tau oknum2 yg gampang diiming2in kekayaan. Contoh kecil aja polisi Indonesia sudah ditertawakan dinegara lain dengan beribu2 kasus yg tidak tuntas,nek muak laku hukum indonesia benah hukum kuat duit wilayah merdeka tanah kaya masyarakat miskin bukti papua serba mahal emas limpah negara cari celah hasut negara tau oknum gampang diimingin kaya contoh polisi indonesia tertawa negara ibu tuntas
MALINGSIQ MEMBANGUN.ACEH...BODOH..LOH NGAK NGACA SARAWAK SAMA SABAH...MAU KAMU NGAPAIN..INGAT BAYAR 4000 TRILLIUN KEAMERICANA..,malingsiq membangunacehbodohloh ngak ngaca sarawak sabahmau ngapainingat bayar trilliun keamericana
"Jangan pernah percaya Malaysia,apapun itu motifnya,mau kerjasama,latihan,bersama,atau lainnya",percaya malaysiaapapun motifnyamau kerjasamalatihanbersamaatau
Bissmilah demi Allah silakan warga GAM pindah ke malesia   Allah maha melihat  silakan GAM pindah ke malesia amin yarooobb🤲🤲🤲🇮🇩🇮🇩🇮🇩,bissmilah allah sila warga gam pindah malesia allah maha sila gam pindah malesia amin yarooobb
Indonesia terlalu lemah menghadapi Malaysia. Makanya Malaysia seenak jidatnya merasa lebih hebat dan meremehkan Indonesia.,indonesia lemah hadap malaysia malaysia enak jidat hebat remeh indonesia
"Allah akan ridho untuk  ganyang kembali malaydesh , jika Malaysia masih usik usik Indonesia",allah ridho ganyang malaydesh malaysia usik usik indonesia
"Tangkap SJ grombolan Aceh yg kibarkan bendera tai itu,  dan sumpel juga mulut PM mlysia itu agar tidak kterlaluan ikut campur masalah kdaulatan negara lain.",tangkap grombolan aceh kibar bendera tai sumpel mulut mlysia kterlaluan campur kdaulatan negara
Watu kena bencana nangis waktu  nggak kena bencana sombong ceh Aceh,watu kena bencana nang nggak kena bencana sombong ceh aceh
Mau hancurkan Gam 👉 hancurkan malingsial dulu.... 😡😡😡,hancur gam hancur malingsial
Gam itu sudah di berikan peringatan dari tuhan.dengan bencana alam dahsyat..hancur kan gam baru Aceh bebas bencana..karna merakalah yg merusak alam.dengan menanam ganja..,gam ingat tuhandengan bencana alam dahsyathancur gam aceh bebas bencanakarna raka rusak alamdengan tanam ganja
"Makanya aceh di landa bencana berat terus, seharus nya rakyat aceh tuh sadar dan merenung",aceh landa bencana berat harus rakyat aceh sadar renung
Dibilang MALAYDESH MUSUH DALAM SELIMUT.,bilang malaydesh musuh selimut
Udah siapkan ganyang malaysia rakyat siap maju,siap ganyang malaysia rakyat maju
Merdeka Aceh buat pagar daratan Langkat juga pagar laut.,merdeka aceh pagar darat langkat pagar laut
Saya setuju kalo Malay Des di jatuhin bom f16,tuju malay des jatuhin bom
"Bergabung sama malaydes kalau angkat kaki pergi kesana biarin bos , tapi kalau gabung masih di bumi Aceh itu perlu di binasakan bikin ruwet",gabung malaydes angkat kaki pergi kesana biarin bos gabung bumi aceh binasa ruwet
Malaysia negara yng dikalahkan hansip indonesia,malaysia negara yng kalah hansip indonesia
"Mahu berperang kan,dulu Ganyang Malaysia kan sudah kalah.",mahu perang kandulu ganyang malaysia kalah
"Aceh itu manusianya banyak yang kurang ajar juga penipu , dulu rombongan saya waktu sunami yang dulu ada tender sapi proyek untuk 1000 ekor dp50% sapi cukup di bohongin gak di bayar waktu itu pengirim sapi dari Lampung banyak yang hancur di tipu orang aceh",aceh manusia ajar tipu rombong sunam tender sapi proyek ekor sapi bohongin bayar kirim sapi lampung hancur tipu orang aceh
Jemput ke Malaysia cari mantri anwar ropek mulutnya anwar kenapa Malaysia mengasuk nagara lain mungkin negaranya sudah di gadai ke amarika hurus nagara sendiri,jemput malaysia cari mantri anwar ropek mulut anwar malaysia mengasuk nagara negara gadai amarika hurus nagara
"Semoga airnya baik baik saja, dan semoga bencana alam datang lagi habiskan semua kiriiik gam",moga air moga bencana alam habis kiriiik gam
"HAL SEMACAM INI SUDAH SANGAT BIASA, DI KAWASAN YANG SERING BERMAIN ATENSI, BAIK DI DARAT MAUPUN DI LAUT, HAMPIR SEMUANYA MEMANG SANGAT SULIT DIPERCAYA, DARI PERIJINAN ILEGAL/BAX'UP SUDAH SANGAT BIASA DI LAKUKAN DI KAWASAN TERLARANG,( KATANYA DI INDONESIA TIDAK BOLEH ADA NEGARA DIDALAM NEGARA APA ARTI SEMUA INI).",kawasan main atensi darat laut sulit percaya perijinan ilegalbaxup laku kawasan larang indonesia negara dalam negara arti
"Kita saja sebagai org Indonesia terlalu lemah terhadap negara anjing' malaydes itu ,,,, putuskan hubungan Dengan malaydes anjing' itu,,,,sudah lah ganyang tu malaydes,,,,,",org indonesia lemah negara anjing malaydes putus hubung malaydes anjing itusudah ganyang malaydes
Memang Malaysia itu di pimpin penjajah komunis .,malaysia pimpin jajah komunis
Hancurkan negara malingsia,hancur negara malingsia
Ganyang gam kalau Malaysia ikutan   ganyang perang . Sekalian,ganyang gam malaysia ikut ganyang perang
Tumpas gam alutista siap luncurkan,tumpas gam alutista luncur
Jgn biarkan tumpas segera,jgn biar tumpas
Hai aceh kalau merdeka kelei bangkrut tampa aceh.,hai aceh merdeka lei bangkrut tampa aceh
Ace lagi di hasut SM malaisia ..perang saja gayang malaisia.,ace hasut malaisia perang gayang malaisia
"Ass,,, 
Wahai Saudaraku Aceh Ingat Kita Kuat Ber NKRI Jgn Mau terhasut Kami Jawa Dan Suku"" Lain Sangat Menyayangi Kalian Semua,,, 
Wasalam,,,, ❤❤",ass saudara aceh kuat ber nkri jgn hasut jawa suku sayang wasalam
"Ga semua orang Aceh mau merdeka, hanya sebagian kecil orang Aceh itupun blm tentu rakyat Aceh, penghasutnya dikasih pelajaran setimpal 😡
Heran kok sebagian orang Aceh percaya sama negara kasino.",orang aceh merdeka orang aceh itu blm rakyat aceh hasut kasih ajar timpal heran orang aceh percaya negara kasino
selama ada malaydes Asia tak pernah aman.,malaydes asia aman
"Ini urut-urutan nya :...
Aceh 👉 Malaysia 👉 Singapore 👉 Australia 👉 nato 👉 zionis Israel Yahudi.

Aceh akan di jadikan pangkalan militer nato sama seperti Timor Leste...!!!
Sama seperti Ukraina.
Sama seperti Kuwait.
Sama seperti Iraq...dll..dsb...dst.

Kemudian sumber daya alam nya di hisap oleh nato.

Aceh selalu teriak minta merdeka...!!!
☝️☝️☝️😤😡😠

Mereka kira siapa mereka itu...!!!

Aceh bukan SUKU asli pribumi sumatera Indonesia.
Melainkan pendatang HARAM....di tanah sumatera.
 Etnis aceh tidak memiliki hak atas tanah dan negara Indonesia untuk merdeka.

Warga naturalisasi di tanah sumatera hak atas tanah sebatas SHM IMB HGU.... merdeka tidak boleh !!!
☝️☝️☝️😤😡😠",uruturutan aceh malaysia singapore australia nato zionis israel yahudi aceh jadi pangkal militer nato timor leste ukraina kuwait iraqdlldsbdst sumber daya alam hisap nato aceh teriak merdeka aceh suku pribumi sumatera indonesia datang haramdi tanah sumatera etnis aceh milik hak tanah negara indonesia merdeka warga naturalisasi tanah sumatera hak tanah batas shm imb hgu merdeka
"Pmx boleh isytihar warga Indonesia diusir keluar dari Malaysia sekarang.jangan ada seorang pun di Malaysia..
Niat pmx hanya untuk membantu Aceh ,difitnah prabowo.",pmx isytihar warga indonesia usir malaysia sekarangjangan malaysia niat pmx bantu aceh fitnah prabowo
"rataain aja dah malaysia . mereka mah cuman di kandang koar"" pas di jajah mah cium kaki kaya ke inggris. pastinya gitu .",rataain malaysia mah cuman kandang koar pas jajah mah cium kaki kaya inggris pasti
Adoiii... Papua pun tak boleh lawan...sial tak tahu malu..,adoiii papua lawansial malu
"Ayo pak  bangunlah  kota Metro Politan di perbatasan  negara  biar negara Malaisia tau kalau kita ini negara kaya raya 
Tapi  mohon  para pemangku kebijakan janganlah  melakukan koropsi  biar hasil kekayaan kita  ini bisa untuk membangun kota di perbatasan   
 kalau rakyat kita bertempat tinggal di sana  berarti  kita telah menjaga kedaulatan  Negara Republik Indonesia ini 
Ayo pak canangkan program bangun kota di perbatasan  biar negara kita tdk di   rong rong  negara sebelah",ayo bangun kota metro politan batas negara biar negara malaisia tau negara kaya raya mohon mang bijak koropsi biar hasil kaya bangun kota batas rakyat tempat tinggal jaga daulat negara republik indonesia ayo canang program bangun kota batas biar negara tdk rong rong negara belah
"Hjr hbis dia smpy brsih ,trmsuk jirn yg suka ngaku ngaku yg tdk jls",hjr hbis smpy brsih trmsuk jirn suka ngaku ngaku tdk jls
"dari pada aceh di perebutkan , lebih baik aceh merdeka saja,,,yakan",aceh rebut aceh merdeka sajayakan
Malaydesh  musuh nyata NKRI,malaydesh musuh nyata nkri
ngmng aja pengin jadi pejabat gk ush pura pura nangis ingat tunggu episode lanjutnya aceh salam dari jawa hama buat aceh yg mengaku paling kaya,ngmng pengin jabat ush pura pura nang tunggu episode aceh salam jawa hama aceh aku kaya
Bergantung pada Allah tapi otak dan hati kalian  setan gak tau berterima kasih.,gantung allah otak hati setan tau terima kasih
"Bila Malaysia ga di gempur, mereka tetap selalu banyak omong. Putuskan hubungan diplomatik dengan Malaysia termasuk dagang.",malaysia gempur omong putus hubung diplomatik malaysia dagang
"Ibarat maling dari luar daerah tidak mngkin mencuri sstu yg sngat berharga  ke daerah lain tanpa ada orng dalam. 
Begtu juga negara....sama halnya...... sebut saja bagian wilayah kesatuan Indonesia yg diberitakan diatas. Tidak mngkin negara asing berani tanpa adanya orng dalam.",maling daerah mngkin curi sstu sngat harga daerah orng begtu negarasama hal wilayah satu indonesia berita atas mngkin negara asing berani orng
"Harusnya warga Aceh intropeksi diri.segampang itukah mau merdeka. Ingat pejuang. Tidak ada wilayah Indonesia yg memisahkan diri, itu penghianatan negara.",warga aceh intropeksi dirisegampang merdeka juang wilayah indonesia pisah penghianatan negara
"Kedaulatan NKRI tidak boleh diganggu, hancurkan malaysia",daulat nkri ganggu hancur malaysia
"Hati2 pemecah belah negara Indonesia, korban Aceh lagi berduka, ga sempat mikir merdeka, makan untuk besok aja ga ada 😢 stok bantuan makanan diselundupkan beberapa oknum setan, hati2 penghasut, apalagi sudah keliatan sifat iri, dengki, cemburu, tukang klaim, sombongnya",hati pecah belah negara indonesia korban aceh duka mikir merdeka makan besok stok bantu makan selundup oknum setan hati hasut liat sifat iri dengki cemburu tukang klaim sombong
"MEMANG KALAU BICARA ASET NEGARA YANG TELAH DICURI OLEH NEGARA JIRAN MEMANG SANGAT SUSAH SEKALI, PASIR, KAYU, DAN MASIH  BANYAK LAGI ASET YANG LAINYA, KARENA TERJADINYA PAGAGAR MAKAN TANAMAN YANG  SANGAT MENJAMUR, DI NKRI INI, YANG PENTING HARGA ATENSI TELAH DISEPAKATI SEGALANYA BISA DI ATUR, MALAYSIA MEMANG SANGAT LICIK, PEMBALAKAN KAYU ILEGAL HAMPIR SEMUA MASUK KE MALAYSIA, DAN KARENA PEMBALAKAN ILEGAL DI ACEH MEMAKAN KORBAN MALAYSIA LANGSUNG JADI PAHLAWAN PURA2 MEMBANTU KORBAN BENCANA, LICIK TIDAK....? INI FAKTA.",bicara aset negara curi negara jiran susah pasir kayu aset lai pagagar makan tanam jamur nkri harga atensi pakat atur malaysia licik bala kayu ilegal masuk malaysia bala ilegal aceh makan korban malaysia langsung pahlawan pura bantu korban bencana licik fakta
"Allahpun murka dg kalian ,maka selalu ditimpa musih,masih belum sadar malah ingin merdeka muhasabahlah kalian rakyat daerah Aceh....",allah murka timpa musihmasih sadar merdeka muhasabah rakyat daerah aceh
Dimana mana sda termul  pasti kelakuan termul gaya2 termul,mana sda termul laku termul gaya termul
Ganyang Malaysia habisin semua ratakan dengan tanah negara kecil tapi belagu Hae Malaysia kalian merdeka karna diberi negara Inggris bukan merdeka sendiri.,ganyang malaysia habisin rata tanah negara belagu hae malaysia merdeka negara inggris merdeka
"Kurang ajar  malayasia  ga pnya malu  , ada termul malayaia",ajar malayasia pnya malu termul malayaia
Indonesia berperang mengandalkan tenaga dan mengandalkan rusia .. pemerintah Indonesia tidak tau malu menjual harga diri kepada rusia .😂😂,indonesia perang andal tenaga andal rusia perintah indonesia tau malu jual harga rusia
"Penyakit Malaysia ini, hantam Malaysia ini.",sakit malaysia hantam malaysia
Mengapa Aceh ingin pisah? ? Jawabannya sedarhana  Tak enak gabung dengan pencuri dan pemain sandiwara.?  Mungkin yg melarang pisah itiu bagian dari KORUPTOR  bersatu,aceh pisah jawab sedarhana enak gabung curi main sandiwara larang pisah itiu koruptor satu
Ganyang vropokator.,ganyang vropokator
jangan kan malydedh.. jepang Belanda kami lawan.. kami rakyat2 pejuang dah mendarah daging.. lawan trs,malydedh jepang belanda lawan rakyat juang darah daging lawan
Pindah pulau aja pak kalo mau merdeka...,pindah pulau merdeka
Ga usah ribut perang ah seolah ada kesombongan memdimg fokus kesejahteraan rakyak aja,ribut perang sombong memdimg fokus sejahtera rakyak
habisi gam,habis gam
Hoiii beras aja 80ton di curi 😂😂😂 apa maling..kami bantuan untuk negeri aceh lagi di timpa musibah malah beras di curi 😂😂,hoiii beras ton curi malingkami bantu negeri aceh timpa musibah beras curi
"MANA TUH MALING
SIA YG SUKA MENGHASUT DAERAH YG MASIH MASUK WILAYAH INDONESIA...MENDING QT PERANG YOK   SY PALING DEPAN BUAT LAWAN XAN...KAU JANGAN MAIN"" YAH SM INDONESIA",maling sia suka hasut daerah masuk wilayah indonesiamending perang yok lawan xankau main indonesia
"KLU BERDAMAI DGN PENGHIANAT INI HASILNYA
GAM KKB HARUS DIMUSNAHKAN ITU YG BENAR ♥️🇲🇨🇲🇨💪",klu damai dgn penghianat hasil gam kkb musnah
"INDONESIA sdang ngelawak & brhasil mmbuat Negara Luar trtawa trbahak bahak krna dri dulu INDONESIA cuma Koar"" 
   Ganyang Malaysia
   Lawan Malaysia
   Siap perang dgn Malaysia
tpi tdk ada Bukti yg nyata 
hnya skdar Omon - Omon.",indonesia sdang ngelawak brhasil mmbuat negara trtawa trbahak bahak krna dri indonesia koar ganyang malaysia lawan malaysia perang dgn malaysia tpi tdk bukti nyata hnya skdar omon omon
Aceh selalu tidak instropeksi berkali kali di timpa musibah masih aja mencoba coba berhianat jangan sampe allah kirim azab lagi datangkan gempa dan sunami yg lebih besar dari yg sebelumya akibat menjadi bangsa penghianat,aceh instropeksi timpa musibah coba coba berhianat sampe allah kirim azab datang gempa sunam sebelumya akibat bangsa penghianat
Ganyang malaydes.  Kita siap perang .... Anwar hati hati hati kau coba coba kau pengaruhi Aceh .... Awas kau,ganyang malaydes perang anwar hati hati hati kau coba coba kau pengaruh aceh awas kau
Pantas saja sering musibah di aceh,musibah aceh
"Dah jelas congor Anwar menjadi provokator, sepertinya kalau ada masalah dengan Malaydesh segera saja angkat senjata... Tidak pantas PM Malaydesh jadi provokator negara berdaulat, PERANG...!",congor anwar provokator malaydesh angkat senjata malaydesh provokator negara daulat perang
Susah klau berurusan dengan orang goblok bodoh seperti gam sama seperti negara sampah malayades tapi aneh ko pemerintah dan TNI selalu takut sama malayades lgian apa istimewanya,susah klau urus orang goblok bodoh gam negara sampah malayades aneh perintah tni takut malayades lgian istimewa
"Boleh Indonesia bantu tapi sarat jangan naikkan bendera GAM,kalau naik cabut gak usah bantu Aceh Hanaya Sumatra Barat aja.",indonesia bantu sarat naik bendera gamkalau cabut bantu aceh hanaya sumatra barat
Indonesia kok terlalu sabar sama malaydes. lebih baik ganyang malaydes dari pada terus propokator terus.,indonesia sabar malaydes ganyang malaydes propokator
Lepaskan Aceh sekarang juga. Biar mereka bangun Aceh mulai NOL. tidak tau diri  dan sok berjasa,lepas aceh biar bangun aceh nol tau sok jasa
Udah kita perang aja lawan Malaysia mereka udah lewat batas,perang lawan malaysia batas
